cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,1,86,0,16,32.0,30
1,8,542,7,45,8.0,39
2,24,1169,10,386,10.0,46
3,2,10,1,8,21.0,27
4,1270,1776,16,285,50.0,54
5,1,8,1,2,31.0,3
6,4,359,51,140,28.0,42
7,0,9,0,5,,22
8,0,11,0,1,,14
9,130,112,5,47,47.0,31
10,455,801,165,374,49.0,45
11,1,8,0,1,1.0,37
12,0,5,0,3,,25
13,3,16,12,0,19.0,17
14,3,24,0,10,39.0,12
15,10,484,1,33,22.0,48
16,3,53,4,32,9.0,35
17,26,1042,34,291,25.0,50
18,0,15,0,1,,28
19,2,7,0,9,42.0,18
20,2,25,0,9,13.0,21
21,1,8,0,6,40.0,9
22,4,259,4,12,6.0,52
23,3,42,1,26,36.0,23
24,2,85,1,7,27.0,34
25,3,23,2,3,24.0,2
26,3,8,4,1,16.0,13
27,0,16,0,1,,6
28,1,32,0,7,26.0,19
29,6,164,4,27,11.0,26
30,4,4,0,5,37.0,24
31,0,16,3,2,35.0,16
32,212,380,7,272,44.0,44
33,4,143,1,7,29.0,32
34,29,2293,20,206,17.0,53
35,0,1,1,0,4.0,60
36,2,24,2,4,3.0,10
37,3,312,93,9,43.0,49
38,37,40,2,9,34.0,5
39,711,10,1,0,51.0,20
40,4,291,2,4,18.0,51
41,0,4,0,0,,1
42,1,32,1,65,30.0,33
43,6,5,4,1,14.0,8
44,0,10,0,3,,57
45,2,9,1,0,7.0,15
46,3,59,2,1,5.0,47
47,4,88,5,13,12.0,36
48,104,53,172,2,48.0,38
49,3,10,0,4,15.0,4
50,70,1541,0,3,46.0,59
51,5,652,3,30,2.0,40
52,0,6,0,447,,58
53,111,1801,16,2244,23.0,55
54,3,85,1,0,20.0,56
55,12,37,57,6,33.0,7
56,0,7,0,0,,29
57,3,20,0,3,41.0,11
58,2,30,0,2,38.0,43
59,379,924,79,226,45.0,41
