num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.670880,0.116019,0.500000,0.000000
10,15,0.434452,0.317412,0.560000,0.380876
8,33,0.383129,0.243555,0.175758,0.578415
11,2,0.321066,0.119310,0.000000,0.800000
9,8,0.304685,0.122760,0.787500,0.033072
7,46,0.253160,0.228804,0.380435,0.497655
5,470,0.138234,0.199603,0.355745,0.456722
3,3358,0.134028,0.229877,0.301608,0.459966
6,235,0.125971,0.182378,0.214894,0.521201
2,6349,0.116771,0.239361,0.312947,0.461822
4,1557,0.105070,0.183427,0.270546,0.468577
1,13844,0.008749,0.022045,0.336914,0.507580
